ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID256597507,18 Grimwade Ct,3,h,528000.0,27/05/2017,2.0,1.0,525.0,6.0,-37.6507,145.04681000000005
ID464726065,168 Scotchmer St,3,h,1581000.0,28/05/2016,1.0,0.0,193.0,109.0,-37.7836,144.985
ID857676762,87 Palmerston St,3,h,1263000.0,9/09/2017,1.0,1.0,110.0,139.0,-37.79667,144.97204
ID608833881,24 Mater St,2,h,1025000.0,3/06/2017,2.0,1.0,108.0,14.0,-37.79531,144.9863
ID774776006,27 Vantage Bvd,4,h,800000.0,19/08/2017,2.0,2.0,511.0,6.0,-37.59372000000001,144.89449
ID321731511,7 Park Dr,3,t,680000.0,18/03/2017,2.0,2.0,224.0,21.0,-37.749,144.8599
ID567765214,5 Loeman St,4,h,1270000.0,28/08/2016,2.0,2.0,411.0,23.0,-37.757,144.9251
ID800277999,5 Donal St,3,h,1255000.0,22/04/2017,1.0,2.0,557.0,69.0,-37.9059,145.0733
ID566649058,5/6 Ulupna Rd,2,u,640000.0,27/05/2017,1.0,1.0,0.0,99.0,-37.90323,145.04286000000005
ID764316944,4 Glenroy Rd,2,h,726335.0,27/11/2016,1.0,2.0,590.0,84.0,-37.7072,144.938
ID635602835,69 Willowtree Dr,4,h,410500.0,24/06/2017,2.0,2.0,425.0,59.0,-38.07474000000001,145.45376000000005
ID550379468,6 Berry St,2,h,900000.0,10/12/2016,1.0,0.0,95.0,119.0,-37.8193,144.9976
ID510759690,35 Spring St,4,h,1010000.0,27/05/2017,2.0,2.0,650.0,19.0,-37.73327000000001,144.87482
ID754567665,18 Buckingham St,3,h,900000.0,17/09/2016,3.0,1.0,58.0,10.0,-37.8139,145.0012
ID606790979,7 Thames St,3,h,1100000.0,25/02/2017,1.0,0.0,613.0,94.0,-37.7532,145.0554
ID365617401,3 Hampshire Rd,4,h,1120000.0,17/06/2017,2.0,2.0,280.0,11.0,-37.79423,145.13696000000004
ID671989663,176 Were St,5,h,1562500.0,10/09/2016,2.0,2.0,655.0,94.0,-37.9264,145.0044
ID500608570,6 Chester St,3,h,1360000.0,4/06/2016,2.0,1.0,704.0,79.0,-37.852,145.0942
ID587696224,8 Pearson St,3,h,950000.0,3/06/2017,1.0,0.0,169.0,21.0,-37.8561,144.90028
ID634391893,24 Gadd St,5,h,1351000.0,13/05/2017,3.0,2.0,707.0,64.0,-37.9098,145.097
ID679629667,7/129 Hoddle St,2,u,890500.0,1/07/2017,2.0,2.0,180.0,79.0,-37.81443,144.99079
ID808079238,47 Hoddle St,3,h,1085000.0,27/06/2016,1.0,1.0,325.0,119.0,-37.7525,144.9232
ID950399008,49 Fenwick St,3,h,1680000.0,19/11/2016,2.0,1.0,201.0,14.0,-37.7884,145.0
ID398572654,6 McCully St,3,h,970000.0,30/07/2016,1.0,1.0,194.0,7.0,-37.7756,144.921
ID214269691,8 Ian Av,4,h,800000.0,9/09/2017,2.0,2.0,650.0,59.0,-37.80103,145.25368
ID428651884,12 Shanley St,2,h,740000.0,24/06/2017,1.0,1.0,487.0,79.0,-37.71949,144.94283000000001
ID355382628,8/46 Kororoit Creek Rd,2,u,460000.0,11/03/2017,1.0,1.0,0.0,40.0,-37.8573,144.8854
ID810482518,11/19 Brindisi St,2,u,640000.0,8/07/2017,1.0,1.0,128.0,47.0,-37.98346,145.06313
